,GroupNumber,GroupType,LexiconType,Generation,ParticipantID,IP,Stage,Block,TrialNumber,Meaning,TrainingLabel,TypedLabel,SegmentedLabel,Exclude_Eng_non.ID,Exclude_Non.Eng,Exclude_other,Array1,Array2,Array3,Array4,Array5,Array6,Selected,Score,Time,Trial_Iteration,Transmitter,Pair,Unique_Participant,New_Redup_B,Exclude_ID,Adj_V,Adj_N,Non_Adj_V,Non_Adj_N,Consonant_redup_V,Consonant_redup_N,Consonant_N,Vowel_redup_V,Vowel_redup_N,Vowel_N,Syllable_N,Exclude_relevant,Adj_B,Non_Adj_B,Exclude_Eng_ID,SyllableRepetition,ConsonantRepetition
50,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,14,1031,NA,kiwawi,"('ki', 'wa', 'wi')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,31:09.7,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,0.5,1,3,0.5,1,3,3,0,0,0,NA,0,1
51,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,15,2029,NA,kopewawi,"('ko', 'pew', 'a', 'wi')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,31:49.2,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,0.333,1,4,0,0,4,4,0,0,0,NA,0,1
52,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,16,2001,NA,peku,"('pe', 'ku')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,32:17.1,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0,0,2,0,0,2,2,0,0,0,NA,0,0
53,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,17,2030,NA,kakaki,"('ka', 'ka', 'ki')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,32:42.0,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.5,1,0,0,1,2,3,0.5,1,3,3,0,1,0,NA,1,1
54,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,18,1031,NA,wiwaki,"('wiw', 'a', 'ki')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,33:00.8,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,0.5,1,3,0.5,1,3,3,0,0,0,NA,0,1
55,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,19,2049,NA,kika,"('ki', 'ka')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,33:25.7,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,1,1,2,0,0,2,2,0,0,0,NA,0,1
56,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,20,2027,NA,wiwa,"('wi', 'wa')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,33:49.3,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,1,1,2,0,0,2,2,0,0,0,NA,0,1
57,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,21,2063,NA,kokopepe,"('ko', 'ko', 'pe', 'pe')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,34:08.0,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.667,2,0,0,0.667,2,4,0.667,2,4,4,0,1,0,NA,1,1
58,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,22,2017,NA,kiwa,"('ki', 'wa')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,34:30.6,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0,0,2,0,0,2,2,0,0,0,NA,0,0
59,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,23,2022,NA,kakaki,"('ka', 'ka', 'ki')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,34:56.8,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.5,1,0,0,1,2,3,0.5,1,3,3,0,1,0,NA,1,1
60,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,24,2057,NA,wikawiwi,"('wi', 'ka', 'wi', 'wi')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,35:29.9,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.333,1,0.5,1,0.667,2,4,0.667,2,4,4,0,1,1,NA,1,1
61,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,25,2016,NA,wikawiwiw,"('wi', 'ka', 'wi', 'wiw')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,36:01.6,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0.5,1,0.75,3,5,0.667,2,4,4,0,0,1,NA,1,1
62,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,26,2022,NA,kakaki,"('ka', 'ka', 'ki')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,36:23.4,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.5,1,0,0,1,2,3,0.5,1,3,3,0,1,0,NA,1,1
63,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,27,2023,NA,kokawiwa,"('ko', 'kaw', 'i', 'wa')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,36:49.1,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0,0,0,0,0.667,2,4,0.333,1,4,4,0,0,0,NA,0,1
64,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,28,1007,NA,kakapepe,"('ka', 'ka', 'pe', 'pe')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,37:27.2,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.667,2,0,0,0.667,2,4,0.667,2,4,4,0,1,0,NA,1,1
65,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,29,2058,NA,kakama,"('ka', 'ka', 'ma')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,37:55.3,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.5,1,0,0,0.5,1,3,1,2,3,3,0,1,0,NA,1,1
66,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,30,2018,NA,peku,"('pe', 'ku')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,38:10.0,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0,0,2,0,0,2,2,0,0,0,NA,0,0
67,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,31,1007,NA,kawama,"('kaw', 'a', 'ma')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,38:35.0,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0,0,3,1,2,3,3,0,0,0,NA,0,0
68,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,32,2025,NA,kiwa,"('ki', 'wa')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,39:02.7,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0,0,2,0,0,2,2,0,0,0,NA,0,0
69,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,33,2058,NA,kakama,"('ka', 'ka', 'ma')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,39:18.7,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.5,1,0,0,0.5,1,3,1,2,3,3,0,1,0,NA,1,1
70,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,34,2018,NA,peku,"('pe', 'ku')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,39:31.3,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,0,NA,0,0,0,0,0,0,2,0,0,2,2,0,0,0,NA,0,0
71,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,35,2023,NA,kakawiwa,"('ka', 'ka', 'wi', 'wa')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,39:46.4,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.333,1,0,0,0.667,2,4,0.667,2,4,4,0,1,0,NA,1,1
72,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactD,1,36,2063,NA,kokopepe,"('ko', 'ko', 'pe', 'pe')",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,40:11.9,2,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.667,2,0,0,0.667,2,4,0.667,2,4,4,0,1,0,NA,1,1
73,1,chain_group,large,1,chain_group_large_111,129.215.204.184,interactM,1,1,1008,NA,kukuko,"('ku', 'ku', 'ko')",FALSE,FALSE,0,2063,2058,1007,2017,1008,2001,1008,1,24:54.1,1,0,chain_group_large_1_1,chain_group_large_1_1_129.215.204.184,1,NA,0.5,1,0,0,1,2,3,0.5,1,3,3,0,1,0,NA,NA,NA
